Atomic_Number,Element_Name,Electron_Type,Effective Nuclear Charge (Zeff)
1,Hydrogen,1s,1
2,Helium,1s,1.67
3,Lithium,1s,2.69
,,2s,1.28
4,Berillyium,1s,3.69
,,2s,1.91
5,Boron,1s,4.68
,,2s,2.58
,,2p,2.42
6,Carbon,1s,5.67
,,2s,3.22
,,2p,3.14
7,Nitrogen,1s,6.6651
,,2s,3.847
,,2p,3.83
8,Oxygen,1s,7.66
,,2s,4.49
,,2p,4.45
9,Fluorine,1s,8.65
,,2s,5.13
,,2p,5.1
10,Neon,1s,9.64
,,2s,5.76
,,2p,5.76
11,Sodium,1s,10.63
,,2s,6.57
,,2p,6.8
,,3s,2.51
12,Magnessium,1s,11.61
,,2s,7.39
,,2p,7.83
,,3s,3.31
13,Aluminium,1s,12.59
,,2s,8.21
,,2p,8.96
,,3s,4.12
,,3p,4.07
14,Silicon,1s,13.58
,,2s,9.02
,,2p,9.58
,,3s,4.9
,,3p,4.29
15,Phosphorus,1s,14.58
,,2s,9.83
,,2p,10.96
,,3s,5.64
,,3p,4.89
16,Sulphur,1s,15.54
,,2s,10.63
,,2p,11.97
,,3s,6.37
,,3p,5.48
17,Chlorine,1s,16.52
,,2s,11.43
,,2p,12.99
,,3s,7.02
,,3p,6.12
18,Argon,1s,17.51
,,2s,12.23
,,2p,14.01
,,3s,7.76
,,3p,6.76
19,Potassium,1s,18.49
,,2s,13.01
,,2p,15.03
,,3s,8.68
,,3p,7.73
,,4s,3.5
20,Calcium,1s,19.473
,,2s,13.776ÿ
,,2p,16.041ÿ
,,3s,ÿ9.6015
,,3p,ÿ8.6583
,,4s,ÿ4.3980
21,Scandium,1s,20.4566
,,2s,14.574ÿ
,,2p,17.055ÿ
,,3s,10.340ÿ
,,3p,ÿ9.4062
,,4s,ÿ4.6324
,,3d,ÿ7.1199
22,Titanium,1s,21.4409
,,2s,15.377ÿ
,,2p,18.065ÿ
,,3s,11.033ÿ
,,3p,10.104ÿ
,,4s,ÿ4.8168
,,3d,ÿ8.1414
23,Vanadium,1s,22.4256
,,2s,16.181ÿ
,,2p,19.073ÿ
,,3s,11.709ÿ
,,3p,10.785ÿ
,,4s,ÿ4.9812
,,3d,ÿ8.9829
24,Chromium,1s,23.4138
,,2s,16.984ÿ
,,2p,20.0752
,,3s,12.368ÿ
,,3p,11.466ÿ
,,4s,ÿ5.1332
,,3d,ÿ9.7566
25,Manganese,1s,24.3957
,,2s,17.794ÿ
,,2p,21.084
,,3s,13.018ÿ
,,3p,12.109ÿ
,,4s,ÿ5.2832
,,3d,10.528ÿ
26,Iron,1s,25.381
,,2s,18.599ÿ
,,2p,22.0888
,,3s,13.676ÿ
,,3p,12.778ÿ
,,4s,ÿ5.4340
,,3d,11.180ÿ
27,Cobalt,1s,26.3668
,,2s,19.405ÿ
,,2p,23.0924
